"AverageBV" "Cohorts" "TimeP" "Traits" "Cohort_Rept" "Cohort_Rept_ID" "Cohort_Rept_Com"
99.3870072601909 "BC-NextCows_4" 26 "RZE (exterior)" "BC-NextCows_4" 4 "BC-NextCows"
99.1343929184502 "BC-NextCows_5" 3 "RZE (exterior)" "BC-NextCows_5" 5 "BC-NextCows"
100.0392942848 "BC-NextCows_5" 4 "RZE (exterior)" "BC-NextCows_5" 5 "BC-NextCows"
99.7988052504795 "BC-NextCows_5" 5 "RZE (exterior)" "BC-NextCows_5" 5 "BC-NextCows"
99.9992482103254 "BC-NextCows_5" 6 "RZE (exterior)" "BC-NextCows_5" 5 "BC-NextCows"
99.3140471574229 "BC-NextCows_5" 7 "RZE (exterior)" "BC-NextCows_5" 5 "BC-NextCows"
99.6389827409352 "BC-NextCows_6" 8 "RZE (exterior)" "BC-NextCows_6" 6 "BC-NextCows"
99.1151600559253 "BC-NextCows_6" 9 "RZE (exterior)" "BC-NextCows_6" 6 "BC-NextCows"
97.6974724862504 "BC-NextCows_6" 10 "RZE (exterior)" "BC-NextCows_6" 6 "BC-NextCows"
98.8717747597265 "BC-NextCows_6" 11 "RZE (exterior)" "BC-NextCows_6" 6 "BC-NextCows"
98.6803305276093 "BC-NextCows_6" 12 "RZE (exterior)" "BC-NextCows_6" 6 "BC-NextCows"
100.649281842014 "BC-NextCows_7" 13 "RZE (exterior)" "BC-NextCows_7" 7 "BC-NextCows"
100.211549858317 "BC-NextCows_7" 14 "RZE (exterior)" "BC-NextCows_7" 7 "BC-NextCows"
99.5418109632999 "BC-NextCows_7" 15 "RZE (exterior)" "BC-NextCows_7" 7 "BC-NextCows"
99.9256180957755 "BC-NextCows_7" 16 "RZE (exterior)" "BC-NextCows_7" 7 "BC-NextCows"
100.783107972698 "BC-NextCows_7" 17 "RZE (exterior)" "BC-NextCows_7" 7 "BC-NextCows"
104.651370741521 "BC-NextCows_8" 18 "RZE (exterior)" "BC-NextCows_8" 8 "BC-NextCows"
104.437626061324 "BC-NextCows_8" 19 "RZE (exterior)" "BC-NextCows_8" 8 "BC-NextCows"
103.627365314233 "BC-NextCows_8" 20 "RZE (exterior)" "BC-NextCows_8" 8 "BC-NextCows"
104.862948789709 "BC-NextCows_8" 21 "RZE (exterior)" "BC-NextCows_8" 8 "BC-NextCows"
105.189715584013 "BC-NextCows_8" 22 "RZE (exterior)" "BC-NextCows_8" 8 "BC-NextCows"
104.525323962565 "BC-NextCows_9" 0 "RZE (exterior)" "BC-NextCows_9" 9 "BC-NextCows"
104.9476351432 "BC-NextCows_9" 23 "RZE (exterior)" "BC-NextCows_9" 9 "BC-NextCows"
104.624381257251 "BC-NextCows_9" 24 "RZE (exterior)" "BC-NextCows_9" 9 "BC-NextCows"
104.784537256709 "BC-NextCows_9" 25 "RZE (exterior)" "BC-NextCows_9" 9 "BC-NextCows"
104.025428160934 "BC-NextCows_9" 26 "RZE (exterior)" "BC-NextCows_9" 9 "BC-NextCows"
105.465513087047 "BC-NextCows_10" 1 "RZE (exterior)" "BC-NextCows_10" 10 "BC-NextCows"
106.227180627099 "BC-NextCows_10" 2 "RZE (exterior)" "BC-NextCows_10" 10 "BC-NextCows"
106.396170492402 "BC-NextCows_10" 3 "RZE (exterior)" "BC-NextCows_10" 10 "BC-NextCows"
106.168786021286 "BC-NextCows_10" 4 "RZE (exterior)" "BC-NextCows_10" 10 "BC-NextCows"
105.996254242538 "BC-NextCows_10" 5 "RZE (exterior)" "BC-NextCows_10" 10 "BC-NextCows"
107.626251509341 "BC-NextCows_11" 6 "RZE (exterior)" "BC-NextCows_11" 11 "BC-NextCows"
107.658836730576 "BC-NextCows_11" 7 "RZE (exterior)" "BC-NextCows_11" 11 "BC-NextCows"
107.819751864852 "BC-NextCows_11" 8 "RZE (exterior)" "BC-NextCows_11" 11 "BC-NextCows"
107.329888593056 "BC-NextCows_11" 9 "RZE (exterior)" "BC-NextCows_11" 11 "BC-NextCows"
106.311601305136 "BC-NextCows_11" 10 "RZE (exterior)" "BC-NextCows_11" 11 "BC-NextCows"
105.566555803758 "BC-NextCows_12" 11 "RZE (exterior)" "BC-NextCows_12" 12 "BC-NextCows"
105.899096350116 "BC-NextCows_12" 12 "RZE (exterior)" "BC-NextCows_12" 12 "BC-NextCows"
106.302318528983 "BC-NextCows_12" 13 "RZE (exterior)" "BC-NextCows_12" 12 "BC-NextCows"
106.359766663367 "BC-NextCows_12" 14 "RZE (exterior)" "BC-NextCows_12" 12 "BC-NextCows"
