"TBV" "Cohorts" "TimeP" "Traits" "Cohort_Rept" "Cohort_Rept_ID" "Cohort_Rept_Com"
8884.79022540932 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
10024.6797990824 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9081.69744693266 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9173.79497270209 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9458.80609498303 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9814.5986628549 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9437.39923281855 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9470.59689380838 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9293.30099469892 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9977.94542453116 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9476.95646640911 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9556.77936715998 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9657.08732866041 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
8826.63142398217 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9128.95917129336 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9308.00983236752 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9461.3604013843 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9170.01223430802 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9812.07677884678 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
8486.06539283966 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
8436.69016399019 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9010.41080612225 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9771.52377150344 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9040.99696321404 "FoundersB" 0 "MGK" "FoundersB" 0 "FoundersB"
9456.01481304464 "Sires" 9 "MGK" "Sires" 0 "Sires"
8643.98332989397 "Sires" 9 "MGK" "Sires" 0 "Sires"
9902.70017076648 "Sires" 9 "MGK" "Sires" 0 "Sires"
9155.50129023886 "Sires" 10 "MGK" "Sires" 0 "Sires"
9377.1293598941 "Sires" 10 "MGK" "Sires" 0 "Sires"
9102.15212423303 "Sires" 10 "MGK" "Sires" 0 "Sires"
9730.80106878402 "Sires" 10 "MGK" "Sires" 0 "Sires"
9552.7223956522 "Sires" 10 "MGK" "Sires" 0 "Sires"
9314.7429674862 "Sires" 10 "MGK" "Sires" 0 "Sires"
9084.91162271653 "Sires" 10 "MGK" "Sires" 0 "Sires"
10450.3223336198 "Sires" 10 "MGK" "Sires" 0 "Sires"
9474.78928978536 "Sires" 10 "MGK" "Sires" 0 "Sires"
9238.2666393904 "Sires" 10 "MGK" "Sires" 0 "Sires"
9453.88080268591 "Sires" 10 "MGK" "Sires" 0 "Sires"
9836.78309343316 "Sires" 10 "MGK" "Sires" 0 "Sires"
9684.16794611521 "Sires" 10 "MGK" "Sires" 0 "Sires"
